Primary Product ID,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952
1,0.2918,0.2918,0.2918,0.2918,0.2918,0.2918,0.2918,0.2918,0.2918,0.2918,0.2435,0.2435,0.2435,0.2435,0.2435,0.2435,0.194,0.194,0.194,0.194,0.194,0.194,0.2258,0.2258,0.3004,0.3004,0.3004,0.3004,0.2894,0.2894,0.2894,0.313,0.313,0.313,0.2508,0.2508,0.2508,0.2508,0.2508,0.2508,0.2086,0.2086,0.2086,0.2086,0.2445,0.2445,0.2445,0.2445,0.3026,0.3026,0.3026,0.3026,0.3026,0.3026,0.3026,0.3026,0.3026,0.3026,0.3026,0.3026,0.3026,0.3026,0.3026,0.3026,0.3026
2,0.4621,0.4621,0.4621,0.4621,0.4621,0.4621,0.4621,0.4621,0.4621,0.4621,0.4417,0.4417,0.4417,0.4417,0.4417,0.4417,0.4939,0.4939,0.4939,0.4939,0.4939,0.4939,0.3907,0.3907,0.4091,0.4091,0.4091,0.4091,0.3847,0.3847,0.3847,0.3291,0.3291,0.3291,0.3769,0.3769,0.3769,0.3769,0.3769,0.3769,0.3517,0.3517,0.3517,0.3517,0.35,0.35,0.35,0.35,0.3224,0.3224,0.3224,0.3224,0.3224,0.3224,0.3224,0.3224,0.3224,0.3224,0.3224,0.3224,0.3224,0.3224,0.3224,0.3224,0.3224
3,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.2045,0.2045,0.2045,0.2045,0.2045,0.2045,0.1312,0.1312,0.1312,0.1312,0.1312,0.1312,0.0868,0.0868,0.0847,0.0847,0.0847,0.0847,0.08,0.08,0.08,0.0853,0.0853,0.0853,0.0785,0.0785,0.0785,0.0785,0.0785,0.0785,0.0671,0.0671,0.0671,0.0671,0.0542,0.0542,0.0542,0.0542,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.1027,0.1027,0.1027,0.1027,0.1027,0.1027,0.1027,0.1027,0.1027,0.1027,0.0584,0.0584,0.0584,0.0584,0.0584,0.0584,0.0344,0.0344,0.0344,0.0344,0.0344,0.0344,0.0295,0.0295,0.0571,0.0571,0.0571,0.0571,0.0397,0.0397,0.0397,0.0624,0.0624,0.0624,0.0545,0.0545,0.0545,0.0545,0.0545,0.0545,0.068,0.068,0.068,0.068,0.0588,0.0588,0.0588,0.0588,0.0773,0.0773,0.0773,0.0773,0.0773,0.0773,0.0773,0.0773,0.0773,0.0773,0.0773,0.0773,0.0773,0.0773,0.0773,0.0773,0.0773
6,0.0704,0.0704,0.0704,0.0704,0.0704,0.0704,0.0704,0.0704,0.0704,0.0704,0.0519,0.0519,0.0519,0.0519,0.0519,0.0519,0.0393,0.0393,0.0393,0.0393,0.0393,0.0393,0.0218,0.0218,0,0,0,0,0.0216,0.0216,0.0216,0.0214,0.0214,0.0214,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0543,0.0543,0.0543,0.0543,0.0597,0.0597,0.0597,0.0597,0.0497,0.0497,0.0497,0.0497,0.0497,0.0497,0.0497,0.0497,0.0497,0.0497,0.0497,0.0497,0.0497,0.0497,0.0497,0.0497,0.0497
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1072,0.1072,0.1072,0.1072,0.1072,0.1072,0.2455,0.2455,0.1487,0.1487,0.1487,0.1487,0.1847,0.1847,0.1847,0.1887,0.1887,0.1887,0.209,0.209,0.209,0.209,0.209,0.209,0.2503,0.2503,0.2503,0.2503,0.2327,0.2327,0.2327,0.2327,0.196,0.196,0.196,0.196,0.196,0.196,0.196,0.196,0.196,0.196,0.196,0.196,0.196,0.196,0.196,0.196,0.196
8,0.2918,0.2918,0.2918,0.2918,0.2918,0.2918,0.2918,0.2918,0.2918,0.2918,0.2435,0.2435,0.2435,0.2435,0.2435,0.2435,0.194,0.194,0.194,0.194,0.194,0.194,0.2258,0.2258,0.3004,0.3004,0.3004,0.3004,0.2894,0.2894,0.2894,0.313,0.313,0.313,0.2508,0.2508,0.2508,0.2508,0.2508,0.2508,0.2086,0.2086,0.2086,0.2086,0.2445,0.2445,0.2445,0.2445,0.3026,0.3026,0.3026,0.3026,0.3026,0.3026,0.3026,0.3026,0.3026,0.3026,0.3026,0.3026,0.3026,0.3026,0.3026,0.3026,0.3026
9,0.4621,0.4621,0.4621,0.4621,0.4621,0.4621,0.4621,0.4621,0.4621,0.4621,0.4417,0.4417,0.4417,0.4417,0.4417,0.4417,0.4939,0.4939,0.4939,0.4939,0.4939,0.4939,0.3907,0.3907,0.4091,0.4091,0.4091,0.4091,0.3847,0.3847,0.3847,0.3291,0.3291,0.3291,0.3769,0.3769,0.3769,0.3769,0.3769,0.3769,0.3517,0.3517,0.3517,0.3517,0.35,0.35,0.35,0.35,0.3224,0.3224,0.3224,0.3224,0.3224,0.3224,0.3224,0.3224,0.3224,0.3224,0.3224,0.3224,0.3224,0.3224,0.3224,0.3224,0.3224
10,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.2045,0.2045,0.2045,0.2045,0.2045,0.2045,0.1312,0.1312,0.1312,0.1312,0.1312,0.1312,0.0868,0.0868,0.0847,0.0847,0.0847,0.0847,0.08,0.08,0.08,0.0853,0.0853,0.0853,0.0785,0.0785,0.0785,0.0785,0.0785,0.0785,0.0671,0.0671,0.0671,0.0671,0.0542,0.0542,0.0542,0.0542,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.1027,0.1027,0.1027,0.1027,0.1027,0.1027,0.1027,0.1027,0.1027,0.1027,0.0584,0.0584,0.0584,0.0584,0.0584,0.0584,0.0344,0.0344,0.0344,0.0344,0.0344,0.0344,0.0295,0.0295,0.0571,0.0571,0.0571,0.0571,0.0397,0.0397,0.0397,0.0624,0.0624,0.0624,0.0545,0.0545,0.0545,0.0545,0.0545,0.0545,0.068,0.068,0.068,0.068,0.0588,0.0588,0.0588,0.0588,0.0773,0.0773,0.0773,0.0773,0.0773,0.0773,0.0773,0.0773,0.0773,0.0773,0.0773,0.0773,0.0773,0.0773,0.0773,0.0773,0.0773
13,0.0704,0.0704,0.0704,0.0704,0.0704,0.0704,0.0704,0.0704,0.0704,0.0704,0.0519,0.0519,0.0519,0.0519,0.0519,0.0519,0.0393,0.0393,0.0393,0.0393,0.0393,0.0393,0.0218,0.0218,0,0,0,0,0.0216,0.0216,0.0216,0.0214,0.0214,0.0214,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0543,0.0543,0.0543,0.0543,0.0597,0.0597,0.0597,0.0597,0.0497,0.0497,0.0497,0.0497,0.0497,0.0497,0.0497,0.0497,0.0497,0.0497,0.0497,0.0497,0.0497,0.0497,0.0497,0.0497,0.0497
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1072,0.1072,0.1072,0.1072,0.1072,0.1072,0.2455,0.2455,0.1487,0.1487,0.1487,0.1487,0.1847,0.1847,0.1847,0.1887,0.1887,0.1887,0.209,0.209,0.209,0.209,0.209,0.209,0.2503,0.2503,0.2503,0.2503,0.2327,0.2327,0.2327,0.2327,0.196,0.196,0.196,0.196,0.196,0.196,0.196,0.196,0.196,0.196,0.196,0.196,0.196,0.196,0.196,0.196,0.196
15,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0.0138,0.0138,0,0,0,0,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0.5503,0.5503,0.5503,0.5503,0.5503,0.5503,0.2557,0.2557,0.3628,0.3628,0.3628,0.3628,0.2959,0.2959,0.2959,0.305,0.305,0.305,0.2674,0.2674,0.2674,0.2674,0.2674,0.2674,0.207,0.207,0.207,0.207,0.1851,0.1851,0.1851,0.1851,0.2054,0.2054,0.2054,0.2054,0.2054,0.2054,0.2054,0.2054,0.2054,0.2054,0.2054,0.2054,0.2054,0.2054,0.2054,0.2054,0.2054
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0069,0.0069,0,0,0,0,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4497,0.4497,0.4497,0.4497,0.4497,0.4497,0.7236,0.7236,0.6372,0.6372,0.6372,0.6372,0.6834,0.6834,0.6834,0.6744,0.6744,0.6744,0.7119,0.7119,0.7119,0.7119,0.7119,0.7119,0.7723,0.7723,0.7723,0.7723,0.7942,0.7942,0.7942,0.7942,0.7739,0.7739,0.7739,0.7739,0.7739,0.7739,0.7739,0.7739,0.7739,0.7739,0.7739,0.7739,0.7739,0.7739,0.7739,0.7739,0.7739
22,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0.0138,0.0138,0,0,0,0,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0.5503,0.5503,0.5503,0.5503,0.5503,0.5503,0.2557,0.2557,0.3628,0.3628,0.3628,0.3628,0.2959,0.2959,0.2959,0.305,0.305,0.305,0.2674,0.2674,0.2674,0.2674,0.2674,0.2674,0.207,0.207,0.207,0.207,0.1851,0.1851,0.1851,0.1851,0.2054,0.2054,0.2054,0.2054,0.2054,0.2054,0.2054,0.2054,0.2054,0.2054,0.2054,0.2054,0.2054,0.2054,0.2054,0.2054,0.2054
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0069,0.0069,0,0,0,0,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4497,0.4497,0.4497,0.4497,0.4497,0.4497,0.7236,0.7236,0.6372,0.6372,0.6372,0.6372,0.6834,0.6834,0.6834,0.6744,0.6744,0.6744,0.7119,0.7119,0.7119,0.7119,0.7119,0.7119,0.7723,0.7723,0.7723,0.7723,0.7942,0.7942,0.7942,0.7942,0.7739,0.7739,0.7739,0.7739,0.7739,0.7739,0.7739,0.7739,0.7739,0.7739,0.7739,0.7739,0.7739,0.7739,0.7739,0.7739,0.7739
29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
